Category,parent_id,parent_label
GUILD_BEAUTY_GROOMING,6,Health_Beauty
GUILD_HOME,10,Office_Stationery
GUILD_JEWELRY,10,Office_Stationery
GUILD_TOYS_AND_GAMES,8,Books_Media
GUITARS,13,Tools_Hardware
GUITAR_EFFECT_DEVICE,4,Consumer_Electronics
GUN_CLEANING_KIT,6,Health_Beauty
GUN_GRIP,13,Tools_Hardware
GUN_HOLSTER,13,Tools_Hardware
GUN_SLING,13,Tools_Hardware
GUN_SUPPORT,13,Tools_Hardware
HAIRBAND,12,Apparel
HAIR_BRUSH,6,Health_Beauty
HAIR_CARE_AGENT,6,Health_Beauty
HAIR_CARE_PRODUCT,6,Health_Beauty
HAIR_CLEANER_CONDITIONER,6,Health_Beauty
HAIR_CLIP,13,Tools_Hardware
HAIR_COLORING_AGENT,6,Health_Beauty
HAIR_COMB,13,Tools_Hardware
HAIR_DRYER,6,Health_Beauty
HAIR_EXTENSION,12,Apparel
HAIR_IRON,13,Tools_Hardware
HAIR_REMOVAL_AGENT,6,Health_Beauty
HAIR_REMOVAL_AND_SHAVING_PRODUCT,6,Health_Beauty
HAIR_ROLLER,13,Tools_Hardware
HAIR_STYLING_AGENT,6,Health_Beauty
HAIR_TIE,12,Apparel
HAIR_TRIMMER,13,Tools_Hardware
HAIR_TRIMMING_KIT,13,Tools_Hardware
HAMMER_MALLET,13,Tools_Hardware
HAMMOCK,3,Home_Textiles
HAMMOCK_STAND,14,Home_Decor
HANDBAG,3,Home_Textiles
HANDLEBAR,2,Industrial_Auto
HANDLEBAR_GRIP,11,Sports_Fitness
HANDLE_GRIP,8,Books_Media
HANDRAIL,11,Sports_Fitness
HAND_FAN,10,Office_Stationery
HAND_SANITIZER,6,Health_Beauty
HAND_SEWING_NEEDLE,13,Tools_Hardware
HAND_STRENGTHENER,11,Sports_Fitness
HANGING_MOBILE,5,Toys_Games
HANGING_ORNAMENT,10,Office_Stationery
HANGING_ROD,14,Home_Decor
HARDWARE,14,Home_Decor
HARDWARE_BEARING,2,Industrial_Auto
HARDWARE_CLAMP_VISE,13,Tools_Hardware
HARDWARE_HANDLE,13,Tools_Hardware
HARDWARE_HINGE,14,Home_Decor
HARDWARE_NAIL,13,Tools_Hardware
HARDWARE_PIN,13,Tools_Hardware
HARDWARE_PLANER,13,Tools_Hardware
HARDWARE_STAPLE,13,Tools_Hardware
HARDWARE_TUBING,2,Industrial_Auto
HARD_DRIVE_ENCLOSURE,1,Electronics_Accessories
HAT,12,Apparel
HEADBOARD,14,Home_Decor
HEADPHONES,4,Consumer_Electronics
HEADPHONE_EARPAD,4,Consumer_Electronics
HEALTH_PERSONAL_CARE,6,Health_Beauty
HEARING_AMPLIFIER,4,Consumer_Electronics
HEAT_PRESS,10,Office_Stationery
HEAT_SINK,8,Books_Media
HEAT_TRANSFER_MATERIAL,10,Office_Stationery
HELMET,3,Home_Textiles
